MaNV,HoTen,LoaiCongViec,CMND,SoNgayNghi,NamVaoLam,HeSoLuong,ThuocTinh1,ThuocTinh2,ThuocTinh3
NVBH001,Nguyen Van A,Ban hang,123456789,2,2020,1.5,5000000,3000000
NVBH002,Tran Thi B,Ban hang,987654321,1,2019,1.2,4000000,2500000
NVDB003,Le Van C,Dung bep,112233445,0,2018,1.8,150,Cook
NVDB004,Pham Thi D,Dung bep,556677889,3,2021,1.1,200,Cook
QL005,Hoang Van E,Quan li,998877665,0,2017,2.0,Phong Ke Toan,Chi Nhanh 1,1500000
QL006,Le Thi F,Quan li,445566778,1,2016,2.2,Phong Nhan Su,Chi Nhanh 2,1800000
NVBH007,Nguyen Van G,Ban hang,334455667,2,2022,1.3,6000000,3500000
NVDB008,Tran Van H,Dung bep,223344556,0,2020,1.0,100,Burger
QL009,Pham Thi I,Quan li,667788990,1,2015,2.5,Phong Tai Chinh,Chi Nhanh 3,2000000
NVBH010,Le Van J,Ban hang,778899001,0,2023,1.4,4500000,2800000
